ilID;il;km2
1;ADANA;ADANA;13844
2;ADIYAMAN;ADIYAMAN;7337
3;AFYONKARAHİSAR;AFYONKARAHİSAR;14016
4;AĞRI;AĞRI;11099
68;AKSARAY;AKSARAY;7659
5;AMASYA;AMASYA;5628
6;ANKARA;ANKARA;25632
7;ANTALYA;ANTALYA;20177
75;ARDAHAN;ARDAHAN;4934
8;ARTVİN;ARTVİN;7393
9;AYDIN;AYDIN;8116
10;BALIKESİR;BALIKESİR;14583
74;BARTIN;BARTIN;2330
72;BATMAN;BATMAN;4477
69;BAYBURT;BAYBURT;3746
11;BİLECİK;BİLECİK;4179
12;BİNGÖL;BİNGÖL;8003
13;BİTLİS;BİTLİS;8294
14;BOLU;BOLU;8313
15;BURDUR;BURDUR;7175
16;BURSA;BURSA;10813
17;ÇANAKKALE;ÇANAKKALE;9817
18;ÇANKIRI;ÇANKIRI;7542
19;ÇORUM;ÇORUM;12428
20;DENİZLİ;DENİZLİ;12134
21;DİYARBAKIR;DİYARBAKIR;15101
81;DÜZCE;DÜZCE;2492
22;EDİRNE;EDİRNE;6145
23;ELAZIĞ;ELAZIĞ;9383
24;ERZİNCAN;ERZİNCAN;11815
25;ERZURUM;ERZURUM;25006
26;ESKİŞEHİR;ESKİŞEHİR;13960
27;GAZİANTEP;GAZİANTEP;6803
28;GİRESUN;GİRESUN;6972
29;GÜMÜŞHANE;GÜMÜŞHANE;6668
30;HAKKARİ;HAKKARİ;7095
31;HATAY;HATAY;5524
76;IĞDIR;IĞDIR;3664
32;ISPARTA;ISPARTA;8946
34;İSTANBUL;İSTANBUL;5461
35;İZMİR;İZMİR;11891
46;KAHRAMANMARAŞ;KAHRAMANMARAŞ;14520
78;KARABÜK;KARABÜK;4142
70;KARAMAN;KARAMAN;8678
36;KARS;KARS;10193
37;KASTAMONU;KASTAMONU;13064
38;KAYSERİ;KAYSERİ;16970
71;KIRIKKALE;KIRIKKALE;4791
39;KIRKLARELİ;KIRKLARELİ;6459
40;KIRŞEHİR;KIRŞEHİR;6584
79;KİLİS;KİLİS;1412
41;KOCAELİ;KOCAELİ;3397
42;KONYA;KONYA;40838
43;KÜTAHYA;KÜTAHYA;11634
44;MALATYA;MALATYA;12259
45;MANİSA;MANİSA;13339
47;MARDİN;MARDİN;8780
33;MERSİN;MERSİN;16010
48;MUĞLA;MUĞLA;12654
49;MUŞ;MUŞ;8718
50;NEVŞEHİR;NEVŞEHİR;5485
51;NİĞDE;NİĞDE;7234
52;ORDU;ORDU;5914
80;OSMANİYE;OSMANİYE;3320
53;RİZE;RİZE;3835
54;SAKARYA;SAKARYA;4824
55;SAMSUN;SAMSUN;9725
56;SİİRT;SİİRT;5717
57;SİNOP;SİNOP;5717
58;SİVAS;SİVAS;28164
63;ŞANLIURFA;ŞANLIURFA;19242
73;ŞIRNAK;ŞIRNAK;7078
59;TEKİRDAĞ;TEKİRDAĞ;6190
60;TOKAT;TOKAT;10042
61;TRABZON;TRABZON;4628
62;TUNCELİ;TUNCELİ;7582
64;UŞAK;UŞAK;5555
65;VAN;VAN;20921
77;YALOVA;YALOVA;798
66;YOZGAT;YOZGAT;13690
67;ZONGULDAK;ZONGULDAK;3342