ilID;ilceID;il;ilce;km2
1;1757;ADANA;ALADAĞ;1340
1;1219;ADANA;CEYHAN;1426
1;2033;ADANA;ÇUKUROVA;250
1;1329;ADANA;FEKE;1218
1;1806;ADANA;İMAMOĞLU;445
1;1437;ADANA;KARAİSALI;1165
1;1443;ADANA;KARATAŞ;862
1;1486;ADANA;KOZAN;1903
1;1580;ADANA;POZANTI;899
1;1588;ADANA;SAİMBEYLİ;989
1;2032;ADANA;SARIÇAM;770
1;1104;ADANA;SEYHAN;444
1;1687;ADANA;TUFANBEYLİ;851
1;1734;ADANA;YUMURTALIK;447
1;1748;ADANA;YÜREĞİR;835
2;1105;ADIYAMAN;MERKEZ;1814
2;1182;ADIYAMAN;BESNİ;1235
2;1246;ADIYAMAN;ÇELİKHAN;444
2;1347;ADIYAMAN;GERGER;668
2;1354;ADIYAMAN;GÖLBAŞI;800
2;1425;ADIYAMAN;KAHTA;1274
2;1592;ADIYAMAN;SAMSAT;319
2;1985;ADIYAMAN;SİNCİK;495
2;1989;ADIYAMAN;TUT;290
3;1108;AFYONKARAHİSAR;MERKEZ;1261
3;1771;AFYONKARAHİSAR;BAŞMAKÇI;361
3;1773;AFYONKARAHİSAR;BAYAT;411
3;1200;AFYONKARAHİSAR;BOLVADİN;944
3;1239;AFYONKARAHİSAR;ÇAY;803
3;1906;AFYONKARAHİSAR;ÇOBANLAR;165
3;1267;AFYONKARAHİSAR;DAZKIRI;408
3;1281;AFYONKARAHİSAR;DİNAR;1254
3;1306;AFYONKARAHİSAR;EMİRDAĞ;2103
3;1923;AFYONKARAHİSAR;EVCİLER;252
3;1944;AFYONKARAHİSAR;HOCALAR;506
3;1404;AFYONKARAHİSAR;İHSANİYE;849
3;1809;AFYONKARAHİSAR;İSCEHİSAR;489
3;1961;AFYONKARAHİSAR;KIZILÖREN;111
3;1594;AFYONKARAHİSAR;SANDIKLI;1238
3;1626;AFYONKARAHİSAR;SİNANPAŞA;889
3;1639;AFYONKARAHİSAR;SULTANDAĞI;928
3;1664;AFYONKARAHİSAR;ŞUHUT;1044
4;1111;AĞRI;MERKEZ;1695
4;1283;AĞRI;DİYADİN;1351
4;1287;AĞRI;DOĞUBAYAZIT;2250
4;1301;AĞRI;ELEŞKİRT;1307
4;1379;AĞRI;HAMUR;873
4;1568;AĞRI;PATNOS;1394
4;1667;AĞRI;TAŞLIÇAY;822
4;1691;AĞRI;TUTAK;1407
68;1860;AKSARAY;AĞAÇÖREN;407
68;1120;AKSARAY;MERKEZ;3540
68;1921;AKSARAY;ESKİL;1701
68;1932;AKSARAY;GÜLAĞAÇ;326
68;1861;AKSARAY;GÜZELYURT;285
68;1557;AKSARAY;ORTAKÖY;727
68;1866;AKSARAY;SARIYAHŞİ;210
68;2106;AKSARAY;SULTANHANI;463
5;1134;AMASYA;MERKEZ;1889
5;1363;AMASYA;GÖYNÜCEK;591
5;1368;AMASYA;GÜMÜŞHACIKÖY;629
5;1938;AMASYA;HAMAMÖZÜ;204
5;1524;AMASYA;MERZİFON;888
5;1641;AMASYA;SULUOVA;456
5;1668;AMASYA;TAŞOVA;971
6;1872;ANKARA;AKYURT;369
6;1130;ANKARA;ALTINDAĞ;123
6;1157;ANKARA;AYAŞ;1041
6;1167;ANKARA;BALA;1851
6;1187;ANKARA;BEYPAZARI;1697
6;1227;ANKARA;ÇAMLIDERE;782
6;1231;ANKARA;ÇANKAYA;483
6;1260;ANKARA;ÇUBUK;1198
6;1302;ANKARA;ELMADAĞ;647
6;1922;ANKARA;ETİMESGUT;273
6;1924;ANKARA;EVREN;222
6;1744;ANKARA;GÖLBAŞI;1364
6;1365;ANKARA;GÜDÜL;540
6;1387;ANKARA;HAYMANA;2164
6;1427;ANKARA;KALECİK;1110
6;1815;ANKARA;KAHRAMANKAZAN;547
6;1745;ANKARA;KEÇİÖREN;159
6;1473;ANKARA;KIZILCAHAMAM;1623
6;1746;ANKARA;MAMAK;321
6;1539;ANKARA;NALLIHAN;2079
6;1578;ANKARA;POLATLI;3618
6;2034;ANKARA;PURSAKLAR;169
6;1747;ANKARA;SİNCAN;880
6;1658;ANKARA;ŞEREFLİKOÇHİSAR;2155
6;1723;ANKARA;YENİMAHALLE;219
7;1121;ANTALYA;AKSEKİ;1544
7;2035;ANTALYA;AKSU;406
7;1126;ANTALYA;ALANYA;1577
7;1811;ANTALYA;DEMRE;329
7;2036;ANTALYA;DÖŞEMEALTI;687
7;1303;ANTALYA;ELMALI;1433
7;1333;ANTALYA;FİNİKE;768
7;1337;ANTALYA;GAZİPAŞA;1111
7;1370;ANTALYA;GÜNDOĞMUŞ;1175
7;1946;ANTALYA;İBRADI;778
7;1451;ANTALYA;KAŞ;1750
7;1959;ANTALYA;KEMER;412
7;2037;ANTALYA;KEPEZ;292
7;2038;ANTALYA;KONYAALTI;546
7;1483;ANTALYA;KORKUTELİ;2433
7;1492;ANTALYA;KUMLUCA;1225
7;1512;ANTALYA;MANAVGAT;2351
7;2039;ANTALYA;MURATPAŞA;96
7;1616;ANTALYA;SERİK;1263
75;1144;ARDAHAN;MERKEZ;1261
75;1252;ARDAHAN;ÇILDIR;988
75;2008;ARDAHAN;DAMAL;165
75;1356;ARDAHAN;GÖLE;1290
75;1380;ARDAHAN;HANAK;647
75;1579;ARDAHAN;POSOF;583
8;1145;ARTVİN;ARDANUÇ;958
8;1147;ARTVİN;ARHAVİ;407
8;1152;ARTVİN;MERKEZ;1141
8;1202;ARTVİN;BORÇKA;805
8;1395;ARTVİN;HOPA;130
8;1828;ARTVİN;MURGUL;301
8;2105;ARTVİN;KEMALPAŞA;74
8;1653;ARTVİN;ŞAVŞAT;1316
8;1736;ARTVİN;YUSUFELİ;2261
9;1206;AYDIN;BOZDOĞAN;859
9;1781;AYDIN;BUHARKENT;124
9;1256;AYDIN;ÇİNE;820
9;2000;AYDIN;DİDİM;424
9;2076;AYDIN;EFELER;624
9;1348;AYDIN;GERMENCİK;394
9;1807;AYDIN;İNCİRLİOVA;188
9;1435;AYDIN;KARACASU;727
9;1957;AYDIN;KARPUZLU;286
9;1479;AYDIN;KOÇARLI;455
9;1968;AYDIN;KÖŞK;187
9;1497;AYDIN;KUŞADASI;265
9;1498;AYDIN;KUYUCAK;544
9;1542;AYDIN;NAZİLLİ;691
9;1637;AYDIN;SÖKE;1064
9;1640;AYDIN;SULTANHİSAR;220
9;1724;AYDIN;YENİPAZAR;245
10;2077;BALIKESİR;ALTIEYLÜL;956
10;1161;BALIKESİR;AYVALIK;305
10;1169;BALIKESİR;BALYA;797
10;1171;BALIKESİR;BANDIRMA;755
10;1191;BALIKESİR;BİGADİÇ;1108
10;1216;BALIKESİR;BURHANİYE;420
10;1291;BALIKESİR;DURSUNBEY;1719
10;1294;BALIKESİR;EDREMİT;682
10;1310;BALIKESİR;ERDEK;307
10;1928;BALIKESİR;GÖMEÇ;171
10;1360;BALIKESİR;GÖNEN;1162
10;1384;BALIKESİR;HAVRAN;565
10;1418;BALIKESİR;İVRİNDİ;818
10;2078;BALIKESİR;KARESİ;695
10;1462;BALIKESİR;KEPSUT;889
10;1514;BALIKESİR;MANYAS;634
10;1824;BALIKESİR;MARMARA;134
10;1608;BALIKESİR;SAVAŞTEPE;427
10;1619;BALIKESİR;SINDIRGI;1387
10;1644;BALIKESİR;SUSURLUK;652
74;1761;BARTIN;AMASRA;178
74;1172;BARTIN;MERKEZ;1091
74;1496;BARTIN;KURUCAŞİLE;152
74;1701;BARTIN;ULUS;909
72;1174;BATMAN;MERKEZ;653
72;1184;BATMAN;BEŞİRİ;809
72;1345;BATMAN;GERCÜŞ;914
72;1941;BATMAN;HASANKEYF;293
72;1487;BATMAN;KOZLUK;1101
72;1607;BATMAN;SASON;706
69;1767;BAYBURT;AYDINTEPE;446
69;1176;BAYBURT;MERKEZ;2705
69;1788;BAYBURT;DEMİRÖZÜ;594
11;1192;BİLECİK;MERKEZ;793
11;1210;BİLECİK;BOZÜYÜK;860
11;1359;BİLECİK;GÖLPAZARI;670
11;1948;BİLECİK;İNHİSAR;244
11;1559;BİLECİK;OSMANELİ;490
11;1571;BİLECİK;PAZARYERİ;324
11;1636;BİLECİK;SÖĞÜT;523
11;1857;BİLECİK;YENİPAZAR;273
12;1750;BİNGÖL;ADAKLI;825
12;1193;BİNGÖL;MERKEZ;1814
12;1344;BİNGÖL;GENÇ;1443
12;1446;BİNGÖL;KARLIOVA;1566
12;1475;BİNGÖL;KİĞI;483
12;1633;BİNGÖL;SOLHAN;1032
12;1855;BİNGÖL;YAYLADERE;417
12;1996;BİNGÖL;YEDİSU;423
13;1106;BİTLİS;ADİLCEVAZ;1586
13;1112;BİTLİS;AHLAT;1153
13;1196;BİTLİS;MERKEZ;1064
13;1798;BİTLİS;GÜROYMAK;515
13;1394;BİTLİS;HİZAN;1021
13;1537;BİTLİS;MUTKİ;1069
13;1669;BİTLİS;TATVAN;1885
14;1199;BOLU;MERKEZ;1616
14;1916;BOLU;DÖRTDİVAN;634
14;1346;BOLU;GEREDE;1060
14;1364;BOLU;GÖYNÜK;1407
14;1466;BOLU;KIBRISCIK;562
14;1522;BOLU;MENGEN;874
14;1531;BOLU;MUDURNU;1314
14;1610;BOLU;SEBEN;683
14;1997;BOLU;YENİÇAĞA;163
15;1109;BURDUR;AĞLASUN;305
15;1874;BURDUR;ALTINYAYLA;221
15;1211;BURDUR;BUCAK;1511
15;1215;BURDUR;MERKEZ;1567
15;1899;BURDUR;ÇAVDIR;482
15;1903;BURDUR;ÇELTİKÇİ;161
15;1357;BURDUR;GÖLHİSAR;494
15;1813;BURDUR;KARAMANLI;372
15;1816;BURDUR;KEMER;373
15;1672;BURDUR;TEFENNİ;582
15;1728;BURDUR;YEŞİLOVA;1108
16;1783;BURSA;BÜYÜKORHAN;505
16;1343;BURSA;GEMLİK;401
16;1935;BURSA;GÜRSU;106
16;1799;BURSA;HARMANCIK;400
16;1411;BURSA;İNEGÖL;1118
16;1420;BURSA;İZNİK;753
16;1434;BURSA;KARACABEY;1158
16;1457;BURSA;KELES;617
16;1960;BURSA;KESTEL;396
16;1530;BURSA;MUDANYA;369
16;1535;BURSA;MUSTAFAKEMALPAŞA;1641
16;1829;BURSA;NİLÜFER;552
16;1553;BURSA;ORHANELİ;838
16;1554;BURSA;ORHANGAZİ;506
16;1832;BURSA;OSMANGAZİ;621
16;1725;BURSA;YENİŞEHİR;720
16;1859;BURSA;YILDIRIM;110
17;1160;ÇANAKKALE;AYVACIK;880
17;1180;ÇANAKKALE;BAYRAMİÇ;1204
17;1190;ÇANAKKALE;BİGA;1310
17;1205;ÇANAKKALE;BOZCAADA;37
17;1229;ÇANAKKALE;ÇAN;905
17;1230;ÇANAKKALE;MERKEZ;1016
17;1293;ÇANAKKALE;ECEABAT;430
17;1326;ÇANAKKALE;EZİNE;727
17;1340;ÇANAKKALE;GELİBOLU;823
17;1408;ÇANAKKALE;GÖKÇEADA;282
17;1503;ÇANAKKALE;LAPSEKİ;821
17;1722;ÇANAKKALE;YENİCE;1381
18;1765;ÇANKIRI;ATKARACALAR;234
18;1885;ÇANKIRI;BAYRAMÖREN;310
18;1232;ÇANKIRI;MERKEZ;1440
18;1248;ÇANKIRI;ÇERKEŞ;947
18;1300;ÇANKIRI;ELDİVAN;350
18;1399;ÇANKIRI;ILGAZ;845
18;1817;ÇANKIRI;KIZILIRMAK;514
18;1963;ÇANKIRI;KORGUN;378
18;1494;ÇANKIRI;KURŞUNLU;609
18;1555;ÇANKIRI;ORTA;706
18;1649;ÇANKIRI;ŞABANÖZÜ;467
18;1718;ÇANKIRI;YAPRAKLI;741
19;1124;ÇORUM;ALACA;1296
19;1177;ÇORUM;BAYAT;717
19;1778;ÇORUM;BOĞAZKALE;264
19;1259;ÇORUM;MERKEZ;2436
19;1911;ÇORUM;DODURGA;229
19;1414;ÇORUM;İSKİLİP;1170
19;1445;ÇORUM;KARGI;1174
19;1972;ÇORUM;LAÇİN;196
19;1520;ÇORUM;MECİTÖZÜ;825
19;1976;ÇORUM;OĞUZLAR;121
19;1556;ÇORUM;ORTAKÖY;300
19;1558;ÇORUM;OSMANCIK;1273
19;1642;ÇORUM;SUNGURLU;1999
19;1850;ÇORUM;UĞURLUDAĞ;428
20;1102;DENİZLİ;ACIPAYAM;1772
20;1769;DENİZLİ;BABADAĞ;124
20;1881;DENİZLİ;BAKLAN;283
20;1774;DENİZLİ;BEKİLLİ;304
20;1888;DENİZLİ;BEYAĞAÇ;333
20;1889;DENİZLİ;BOZKURT;462
20;1214;DENİZLİ;BULDAN;523
20;1224;DENİZLİ;ÇAL;860
20;1226;DENİZLİ;ÇAMELİ;758
20;1233;DENİZLİ;ÇARDAK;423
20;1257;DENİZLİ;ÇİVRİL;1570
20;1371;DENİZLİ;GÜNEY;362
20;1803;DENİZLİ;HONAZ;449
20;1426;DENİZLİ;KALE;684
20;2079;DENİZLİ;MERKEZEFENDİ;336
20;1871;DENİZLİ;PAMUKKALE;823
20;1597;DENİZLİ;SARAYKÖY;379
20;1840;DENİZLİ;SERİNHİSAR;256
20;1670;DENİZLİ;TAVAS;1432
21;2040;DİYARBAKIR;BAĞLAR;429
21;1195;DİYARBAKIR;BİSMİL;1679
21;1249;DİYARBAKIR;ÇERMİK;948
21;1253;DİYARBAKIR;ÇINAR;1934
21;1263;DİYARBAKIR;ÇÜNGÜŞ;512
21;1278;DİYARBAKIR;DİCLE;738
21;1791;DİYARBAKIR;EĞİL;449
21;1315;DİYARBAKIR;ERGANİ;1510
21;1381;DİYARBAKIR;HANİ;436
21;1389;DİYARBAKIR;HAZRO;426
21;2041;DİYARBAKIR;KAYAPINAR;480
21;1962;DİYARBAKIR;KOCAKÖY;248
21;1490;DİYARBAKIR;KULP;1493
21;1504;DİYARBAKIR;LİCE;982
21;1624;DİYARBAKIR;SİLVAN;1252
21;2042;DİYARBAKIR;SUR;1227
21;2043;DİYARBAKIR;YENİŞEHİR;358
81;1116;DÜZCE;AKÇAKOCA;380
81;1784;DÜZCE;CUMAYERİ;113
81;1905;DÜZCE;ÇİLİMLİ;85
81;1292;DÜZCE;MERKEZ;710
81;1794;DÜZCE;GÖLYAKA;228
81;2017;DÜZCE;GÜMÜŞOVA;103
81;2031;DÜZCE;KAYNAŞLI;237
81;1730;DÜZCE;YIĞILCA;636
22;1295;EDİRNE;MERKEZ;844
22;1307;EDİRNE;ENEZ;455
22;1385;EDİRNE;HAVSA;545
22;1412;EDİRNE;İPSALA;741
22;1464;EDİRNE;KEŞAN;1098
22;1502;EDİRNE;LALAPAŞA;497
22;1523;EDİRNE;MERİÇ;438
22;1988;EDİRNE;SÜLOĞLU;342
22;1705;EDİRNE;UZUNKÖPRÜ;1185
23;1110;ELAZIĞ;AĞIN;242
23;1873;ELAZIĞ;ALACAKAYA;318
23;1762;ELAZIĞ;ARICAK;354
23;1173;ELAZIĞ;BASKİL;1318
23;1298;ELAZIĞ;MERKEZ;2243
23;1438;ELAZIĞ;KARAKOÇAN;1049
23;1455;ELAZIĞ;KEBAN;641
23;1820;ELAZIĞ;KOVANCILAR;960
23;1506;ELAZIĞ;MADEN;819
23;1566;ELAZIĞ;PALU;730
23;1631;ELAZIĞ;SİVRİCE;710
24;1243;ERZİNCAN;ÇAYIRLI;1062
24;1318;ERZİNCAN;MERKEZ;1521
24;1406;ERZİNCAN;İLİÇ;1382
24;1459;ERZİNCAN;KEMAH;2311
24;1460;ERZİNCAN;KEMALİYE;1207
24;1977;ERZİNCAN;OTLUKBELİ;320
24;1583;ERZİNCAN;REFAHİYE;1808
24;1675;ERZİNCAN;TERCAN;1614
24;1853;ERZİNCAN;ÜZÜMLÜ;591
25;1153;ERZURUM;AŞKALE;1507
25;1945;ERZURUM;AZİZİYE;1529
25;1235;ERZURUM;ÇAT;1448
25;1392;ERZURUM;HINIS;1367
25;1396;ERZURUM;HORASAN;1740
25;1416;ERZURUM;İSPİR;2129
25;1812;ERZURUM;KARAÇOBAN;571
25;1444;ERZURUM;KARAYAZI;1953
25;1967;ERZURUM;KÖPRÜKÖY;777
25;1540;ERZURUM;NARMAN;799
25;1550;ERZURUM;OLTU;1441
25;1551;ERZURUM;OLUR;893
25;2044;ERZURUM;PALANDÖKEN;667
25;1567;ERZURUM;PASİNLER;1134
25;1865;ERZURUM;PAZARYOLU;654
25;1657;ERZURUM;ŞENKAYA;1381
25;1674;ERZURUM;TEKMAN;2102
25;1683;ERZURUM;TORTUM;1463
25;1851;ERZURUM;UZUNDERE;505
25;2045;ERZURUM;YAKUTİYE;945
26;1759;ESKİŞEHİR;ALPU;1028
26;1777;ESKİŞEHİR;BEYLİKOVA;715
26;1255;ESKİŞEHİR;ÇİFTELER;858
26;1934;ESKİŞEHİR;GÜNYÜZÜ;828
26;1939;ESKİŞEHİR;HAN;378
26;1808;ESKİŞEHİR;İNÖNÜ;345
26;1508;ESKİŞEHİR;MAHMUDİYE;659
26;1973;ESKİŞEHİR;MİHALGAZİ;109
26;1527;ESKİŞEHİR;MİHALIÇÇIK;1809
26;2046;ESKİŞEHİR;ODUNPAZARI;1120
26;1599;ESKİŞEHİR;SARICAKAYA;382
26;1618;ESKİŞEHİR;SEYİTGAZİ;1578
26;1632;ESKİŞEHİR;SİVRİHİSAR;2748
26;2047;ESKİŞEHİR;TEPEBAŞI;1403
27;1139;GAZİANTEP;ARABAN;592
27;1415;GAZİANTEP;İSLAHİYE;865
27;1956;GAZİANTEP;KARKAMIŞ;298
27;1546;GAZİANTEP;NİZİP;944
27;1974;GAZİANTEP;NURDAĞI;697
27;1549;GAZİANTEP;OĞUZELİ;689
27;1841;GAZİANTEP;ŞAHİNBEY;960
27;1844;GAZİANTEP;ŞEHİTKAMİL;1290
27;1720;GAZİANTEP;YAVUZELİ;468
28;1133;GİRESUN;ALUCRA;1138
28;1212;GİRESUN;BULANCAK;721
28;1893;GİRESUN;ÇAMOLUK;444
28;1894;GİRESUN;ÇANAKÇI;142
28;1272;GİRESUN;DERELİ;849
28;1912;GİRESUN;DOĞANKENT;110
28;1320;GİRESUN;ESPİYE;248
28;1324;GİRESUN;EYNESİL;51
28;1352;GİRESUN;MERKEZ;376
28;1361;GİRESUN;GÖRELE;237
28;1930;GİRESUN;GÜCE;351
28;1465;GİRESUN;KEŞAP;197
28;1837;GİRESUN;PİRAZİZ;127
28;1654;GİRESUN;ŞEBİNKARAHİSAR;1396
28;1678;GİRESUN;TİREBOLU;259
28;1854;GİRESUN;YAĞLIDERE;327
29;1369;GÜMÜŞHANE;MERKEZ;1889
29;1458;GÜMÜŞHANE;KELKİT;1571
29;1822;GÜMÜŞHANE;KÖSE;353
29;1971;GÜMÜŞHANE;KÜRTÜN;917
29;1660;GÜMÜŞHANE;ŞİRAN;965
29;1684;GÜMÜŞHANE;TORUL;973
30;1261;HAKKARİ;ÇUKURCA;725
30;2107;HAKKARİ;DERECİK;435
30;1377;HAKKARİ;MERKEZ;2179
30;1656;HAKKARİ;ŞEMDİNLİ;1209
30;1737;HAKKARİ;YÜKSEKOVA;2547
31;1131;HATAY;ALTINÖZÜ;392
31;2080;HATAY;ANTAKYA;703
31;2081;HATAY;ARSUZ;462
31;1887;HATAY;BELEN;184
31;2082;HATAY;DEFNE;155
31;1289;HATAY;DÖRTYOL;342
31;1792;HATAY;ERZİN;258
31;1382;HATAY;HASSA;520
31;1413;HATAY;İSKENDERUN;247
31;1468;HATAY;KIRIKHAN;715
31;1970;HATAY;KUMLU;193
31;2083;HATAY;PAYAS;157
31;1585;HATAY;REYHANLI;367
31;1591;HATAY;SAMANDAĞ;384
31;1721;HATAY;YAYLADAĞI;445
76;1142;IĞDIR;ARALIK;852
76;1398;IĞDIR;MERKEZ;1273
76;2011;IĞDIR;KARAKOYUNLU;269
76;1692;IĞDIR;TUZLUCA;1270
32;1755;ISPARTA;AKSU;544
32;1154;ISPARTA;ATABEY;223
32;1297;ISPARTA;EĞİRDİR;1315
32;1341;ISPARTA;GELENDOST;610
32;1929;ISPARTA;GÖNEN;285
32;1401;ISPARTA;MERKEZ;773
32;1456;ISPARTA;KEÇİBORLU;494
32;1615;ISPARTA;SENİRKENT;521
32;1648;ISPARTA;SÜTÇÜLER;1235
32;1651;ISPARTA;ŞARKİKARAAĞAÇ;1068
32;1699;ISPARTA;ULUBORLU;240
32;1717;ISPARTA;YALVAÇ;1402
32;2001;ISPARTA;YENİŞARBADEMLİ;237
34;1103;İSTANBUL;ADALAR;11
34;2048;İSTANBUL;ARNAVUTKÖY;453
34;2049;İSTANBUL;ATAŞEHİR;25
34;2003;İSTANBUL;AVCILAR;50
34;2004;İSTANBUL;BAĞCILAR;23
34;2005;İSTANBUL;BAHÇELİEVLER;17
34;1166;İSTANBUL;BAKIRKÖY;29
34;2050;İSTANBUL;BAŞAKŞEHİR;107
34;1886;İSTANBUL;BAYRAMPAŞA;9
34;1183;İSTANBUL;BEŞİKTAŞ;18
34;1185;İSTANBUL;BEYKOZ;310
34;2051;İSTANBUL;BEYLİKDÜZÜ;39
34;1186;İSTANBUL;BEYOĞLU;9
34;1782;İSTANBUL;BÜYÜKÇEKMECE;173
34;1237;İSTANBUL;ÇATALCA;1142
34;2052;İSTANBUL;ÇEKMEKÖY;152
34;2016;İSTANBUL;ESENLER;19
34;2053;İSTANBUL;ESENYURT;43
34;1325;İSTANBUL;EYÜPSULTAN;228
34;1327;İSTANBUL;FATİH;15
34;1336;İSTANBUL;GAZİOSMANPAŞA;12
34;2010;İSTANBUL;GÜNGÖREN;7
34;1421;İSTANBUL;KADIKÖY;25
34;1810;İSTANBUL;KAĞITHANE;15
34;1449;İSTANBUL;KARTAL;38
34;1823;İSTANBUL;KÜÇÜKÇEKMECE;44
34;2012;İSTANBUL;MALTEPE;53
34;1835;İSTANBUL;PENDİK;190
34;2054;İSTANBUL;SANCAKTEPE;63
34;1604;İSTANBUL;SARIYER;177
34;1622;İSTANBUL;SİLİVRİ;858
34;2014;İSTANBUL;SULTANBEYLİ;29
34;2055;İSTANBUL;SULTANGAZİ;37
34;1659;İSTANBUL;ŞİLE;800
34;1663;İSTANBUL;ŞİŞLİ;10
34;2015;İSTANBUL;TUZLA;138
